27.0, [  0   2   3   4   5   0   0   0   0   0   0   0  13 255]
80.0, [  2   4   0   4   5  12  11   0  25   0   0   0  17 255]
82.0, [  0   2   3   4  10  18  22   0   0   0   0   0  23 255]
86.0, [  3   2   3   8   0   0  12  13  25   0   0   0  20 255]
87.0, [  1   4   0   0  10   0   0   0   0   0   0  50  22 255]
102.0, [  0   2   3   8  20   0  26   0  25   0   0   0  18 255]
107.0, [  0   4   3   8   5  12   0  25  25   0   0   0  25 255]
115.0, [  1   2   0  12  10   0  18   0   0   0   0  50  22 255]
119.0, [  2   4   0   0  15  12  15   0   0   0   0  50  21 255]
123.0, [  2   4   3   8  10   6  24   0   0   0   0  50  16 255]
131.0, [  0   2   3   4   5  12  27  29  25   0   0   0  24 255]
